contract_url,contract_value,poster_nif,procedimento,winner_nif
http://www.base.gov.pt/Base/pt/Pesquisa/Contrato?a=5804608,"7.500,00 €",501177256,Ajuste Direto Regime Geral,501773339
http://www.base.gov.pt/Base/pt/Pesquisa/Contrato?a=5804515,"1.706,56 €",501356126,Ajuste Direto Regime Geral,504594214
http://www.base.gov.pt/Base/pt/Pesquisa/Contrato?a=5804522,"1.475.668,65 €",501305912,Concurso público,502933755
http://www.base.gov.pt/Base/pt/Pesquisa/Contrato?a=5804507,"33600000-6, Produtos farmacêuticos",509186998,4028557,510229050
http://www.base.gov.pt/Base/pt/Pesquisa/Contrato?a=5804526,"789.868,80 €",503933813,Concurso público,514950994
http://www.base.gov.pt/Base/pt/Pesquisa/Contrato?a=5804528,"33600000-6, Produtos farmacêuticos",508741823,2775691,508107997
http://www.base.gov.pt/Base/pt/Pesquisa/Contrato?a=5804524,"5.890,00 €",501157280,Consulta Prévia,504710109
http://www.base.gov.pt/Base/pt/Pesquisa/Contrato?a=5804548,"4.629,49 €",301900229,Concurso público,600012662
http://www.base.gov.pt/Base/pt/Pesquisa/Contrato?a=5804530,"560,50 €",503148768,Consulta Prévia,501895558
http://www.base.gov.pt/Base/pt/Pesquisa/Contrato?a=5804554,"63.545,36 €",506818837,Consulta Prévia,501408304
http://www.base.gov.pt/Base/pt/Pesquisa/Contrato?a=5804550,"411,60 €",503148768,Consulta Prévia,508560152
http://www.base.gov.pt/Base/pt/Pesquisa/Contrato?a=5804564,"47.773,10 €",506833224,Consulta Prévia,503536717
http://www.base.gov.pt/Base/pt/Pesquisa/Contrato?a=5804576,"22,75 €",503148768,Consulta Prévia,501895558
http://www.base.gov.pt/Base/pt/Pesquisa/Contrato?a=5804578,"16.637,00 €",502098139,Ajuste Direto Regime Geral,506331598
http://www.base.gov.pt/Base/pt/Pesquisa/Contrato?a=5804560,"33651000-8, Anti-infecciosos gerais de uso sistémico",508741823,2775691,508107997
http://www.base.gov.pt/Base/pt/Pesquisa/Contrato?a=5804585,"3.875,67 €",301701995,Ajuste Direto Regime Geral,600012662
http://www.base.gov.pt/Base/pt/Pesquisa/Contrato?a=5804590,"1.280,50 €",503148768,Consulta Prévia,500042772
http://www.base.gov.pt/Base/pt/Pesquisa/Contrato?a=5804572,"13.262,80 €",504041193,Ajuste Direto Regime Geral,501111727
http://www.base.gov.pt/Base/pt/Pesquisa/Contrato?a=5804542,"4.194,34 €",506361462,Concurso público,508592909
http://www.base.gov.pt/Base/pt/Pesquisa/Contrato?a=5804594,"33600000-6, Produtos farmacêuticos",509186998,2800702,503047201
http://www.base.gov.pt/Base/pt/Pesquisa/Contrato?a=5804605,"58.630,00 €",090900762,Consulta Prévia,510103448
http://www.base.gov.pt/Base/pt/Pesquisa/Contrato?a=5804603,"5.135,00 €",301703916,Ajuste Direto Regime Geral,600012662
http://www.base.gov.pt/Base/pt/Pesquisa/Contrato?a=5804600,"1.427,60 €",503148768,Consulta Prévia,501506543
http://www.base.gov.pt/Base/pt/Pesquisa/Contrato?a=5804583,"33651000-8, Anti-infecciosos gerais de uso sistémico",508741823,2775691,508107997
